['Point(140.5781487 39.3100292)']	117
['Point(130.6384926 32.5010333)']	102
['Point(138.5499996 35.6721125)']	93
['Point(138.6774781 35.1540954)']	88
['Point(131.427765 31.9437073)']	80
['Point(133.7597423 34.5165856)']	80
['Point(136.5916468 34.9816252)']	76
['Point(137.9435318 36.2348871)']	73
['Point(139.9717795 35.8439578)']	72
['Point(139.880097 35.953403)']	70
['Point(135.4910591 34.6227715)']	65
['Point(138.5683089 35.6620982)']	59
['Point(131.8609693 33.072166)']	59
['Point(133.6627923 34.1284249)']	54
['Point(130.6999328 33.0093764)']	53
['Point(130.9403851 33.3280901)']	52
['Point(140.0196592 40.2107604)']	52
['Point(129.9952934 32.3795734)']	48
['Point(133.3943468 34.4692547)']	47
['Point(139.3091998 35.334984)']	47
['Point(140.4634634 40.7818583)']	46
['Point(137.5316085 34.7184684)']	44
['Point(138.7129066 35.7037494)']	43
['Point(130.8163704 32.7914033)']	43
['Point(130.5590789 32.9314599)']	42
['Point(141.4711699 40.5322634)']	41
['Point(131.3010585 31.8391689)']	41
['Point(135.3451574 34.8093554)']	41
['Point(138.558107 35.6362127)']	39
['Point(139.9123927 35.7995549)']	38
['Point(141.4901961 40.5079413)']	38
['Point(131.6597893 33.1554109)']	38
['Point(130.7303117 33.74663)']	38
['Point(142.3294024 43.7940457)']	37
['Point(133.5500676 33.9810411)']	37
['Point(137.4479205 34.7252843)']	37
['Point(133.8362679 34.5899827)']	36
['Point(138.9955116 36.33801589999999)']	35
['Point(130.8487826 31.375051)']	35
['Point(130.8968264 33.9422417)']	35
['Point(131.3709131 31.9308271)']	35
['Point(132.5264409 33.6256272)']	35
['Point(140.1837585 35.6286945)']	32
['Point(128.8460344 32.6989579)']	31
['Point(130.5574211 31.5967656)']	31
['Point(130.5548872 31.5638531)']	31
['Point(130.1504313 33.1849969)']	31
['Point(141.1401285 39.1440371)']	31
['Point(140.5779348 35.7212275)']	30
['Point(140.6644489 35.8899991)']	30
['Point(130.6656533 32.6839422)']	30
['Point(133.2817621 33.9564235)']	30
['Point(131.6225041 32.4228811)']	30
['Point(140.1909326 36.0707298)']	29
['Point(133.9735102 34.605476)']	29
['Point(140.0175457 35.7935401)']	29
['Point(139.1777779 36.0184188)']	29
['Point(135.4523554 34.68306949999999)']	29
['Point(133.8265408 34.5995481)']	28
['Point(129.715007 33.3457306)']	28
['Point(133.0801232 33.9316927)']	27
['Point(133.5860325 33.9921791)']	27
['Point(135.1446307 34.2333169)']	26
['Point(136.7719591 35.457029)']	26
['Point(130.6308774 32.765727)']	26
['Point(136.6548337 35.0051925)']	26
['Point(130.1948336 32.4611967)']	25
['Point(135.5636216 34.4552291)']	25
['Point(140.7342926 36.7799923)']	25
['Point(132.7063887 33.7793348)']	25
['Point(142.3964685 43.7482619)']	24
['Point(140.1026808 39.703907).1']	24
['Point(139.0428727 36.3816035)']	24
['Point(130.0518805 32.512424)']	24
['Point(130.9266483 33.9894006)']	24
['Point(137.1753647 35.3573259)']	23
['Point(133.4605487 34.4942837)']	23
